,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
97,CHEMBL2380838,1.0,nM,COc1cccc(F)c1C(=O)Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1,9.0,454.14411868800005,5,3,5.219900000000003,True
98,CHEMBL3675453,1.1,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cncc(N5CCCC5)c4)c3)ncnc12,8.958607314841775,467.2069730400001,7,3,3.588300000000002,True
99,CHEMBL3680470,1.1,nM,CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(O)c2cc(C3CC3)n[nH]2)c1,8.958607314841775,500.26482226400003,8,5,3.5371000000000015,True
100,CHEMBL3685248,1.1,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)C4CCCCC4)c3)ncnc12,8.958607314841775,403.20082504000004,5,3,3.859600000000002,True
102,CHEMBL1173411,1.19,nM,COc1ccc(NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C(=O)O)c2C)cc1,8.924453038607469,432.14336973999997,4,5,4.166620000000002,True
103,CHEMBL3675491,1.2,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Cl)c(F)c2)c1,8.920818753952375,463.12113074800004,5,3,4.946600000000003,True
104,CHEMBL3670471,1.2,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5c(c4)OCO5)c3)ncnc12,8.920818753952375,441.143704088,7,3,3.3218000000000014,True
105,CHEMBL3685241,1.2,nM,Cc1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,8.920818753952375,411.16952491200004,5,3,3.9015200000000014,True
106,CHEMBL3670474,1.2,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(SC(F)(F)F)cc4)c3)ncnc12,8.920818753952375,497.11333047600004,6,3,5.205000000000003,True
107,CHEMBL3329669,1.2,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)cc1,8.920818753952375,502.18523455199994,5,5,4.111940000000002,True
108,CHEMBL3680549,1.2,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cn[nH]c4N)c3)ncnc12,8.920818753952375,402.1552718160001,7,5,1.8983999999999996,True
109,CHEMBL3329673,1.3,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)c(F)c1,8.886056647693163,520.17581274,5,5,4.251040000000002,True
110,CHEMBL3675465,1.3,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(C)(C)C)n[nH]2)c1,8.886056647693163,457.2226231040001,6,4,4.174700000000002,True
112,CHEMBL3675487,1.4,nM,CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)nc2)c1,8.853871964321762,494.16780857200007,6,3,4.958000000000003,True
113,CHEMBL3680390,1.4,nM,NC(=O)C1=c2ncnc(NC(CCN3CCCC3)c3cccc(NC(=O)c4ccc(Br)cc4)c3)c2=CCC1,8.853871964321762,574.169186332,6,3,3.3408000000000015,True
114,CHEMBL3670464,1.4,nM,NC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,8.853871964321762,307.143310164,5,3,1.8405999999999996,True
115,CHEMBL3675406,1.4,nM,CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccnc(N3CCCC3)c2)c1,8.853871964321762,524.264822264,8,3,3.6910000000000016,True
117,CHEMBL3685286,1.5,nM,NC(=O)c1cccc2c(NC(CCN3CCCCC3)c3cccc(NC(O)c4ccccc4)c3)ncnc12,8.823908740944319,510.27432432800003,7,4,4.860900000000004,True
118,CHEMBL3680481,1.5,nM,CS(=O)(=O)c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.823908740944319,475.1314251520001,7,3,2.996600000000001,True
119,CHEMBL3675371,1.5,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4ccccc4)c3)ncnc12,8.823908740944319,412.16477388000004,5,4,3.9848000000000017,True
120,CHEMBL3675337,1.5,nM,NC(=O)c1cccc2c(NCc3cccc(F)c3)ncnc12,8.823908740944319,296.10733925600005,4,2,2.4799000000000007,True
121,CHEMBL3329670,1.5,nM,COc1ccc(C(=O)NC(=O)Nc2cc3c(cc2F)/C(=C/c2[nH]c(C)c(C(=O)O)c2C)C(=O)N3)cc1,8.823908740944319,492.144512612,5,5,3.9320400000000015,True
123,CHEMBL3329675,1.5,nM,COc1ccc(C(=O)NC(=O)Nc2cc3c(cc2F)/C(=C/c2[nH]c(C)c(CCC(=O)O)c2C)C(=O)N3)c(F)c1,8.823908740944319,538.166390928,5,5,4.390140000000002,True
124,CHEMBL3685214,1.5,nM,NC(=O)c1cccc2c(NC(CCN3CCCCC3)c3cccc(Nc4ccccn4)c3)ncnc12,8.823908740944319,481.2590086120001,7,3,4.896500000000004,True
126,CHEMBL3675325,1.6,nM,NC(=O)c1cc(OCCCNCCO)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,8.795880017344075,463.18312428800004,7,4,2.710400000000001,True
127,CHEMBL3685210,1.6,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cnn5c4CNCC5)c3)ncnc12,8.795880017344075,442.1865719440001,8,4,1.8927999999999994,True
128,CHEMBL3670478,1.6,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)Cc4ccc(Cl)cc4)c3)ncnc12,8.795880017344075,445.13055256,5,3,4.175400000000002,True
129,CHEMBL3685254,1.6,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)C4CCCNC4)c3)ncnc12,8.795880017344075,404.19607400800004,6,4,2.2789,True
132,CHEMBL3685242,1.7,nM,CN(C)c1cccc(C(=O)Nc2cccc(CNc3ncnc4c3=CCCC=4C(N)=O)c2)c1,8.769551078621726,442.21172407200004,6,3,1.617299999999999,True
133,CHEMBL3670476,1.7,nM,COc1cc(C(N)=O)c2ncnc(NCc3cccc(NC(=O)c4ccc(F)cc4)c3)c2c1,8.769551078621726,445.15501772,6,3,3.740800000000002,True
134,CHEMBL3685287,1.8,nM,NC(=O)c1cccc2c(NCc3ccc(F)c(NC(=O)c4ccc(OC(F)(F)F)cc4)c3)ncnc12,8.744727494896694,499.126752284,6,3,4.6308000000000025,True
135,CHEMBL3329668,1.8,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CC(=O)O)c2C)cc1,8.744727494896694,488.16958448799994,5,5,3.721840000000002,True
136,CHEMBL3685247,1.8,nM,CCOc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.744727494896694,441.180089596,6,3,3.9918000000000022,True
137,CHEMBL3680532,1.8,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1C(F)(F)F,8.744727494896694,495.15182416,6,3,4.6205000000000025,True
138,CHEMBL3675516,1.8,nM,C=CCN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,8.744727494896694,524.253588884,7,3,4.650700000000002,True
139,CHEMBL3685255,1.9,nM,CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccccc2)c1,8.721246399047171,468.227374136,6,3,4.085900000000002,True
140,CHEMBL3329664,1.9,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(C(=O)O)c2C)cc1,8.721246399047171,474.15393442399994,5,5,3.7929400000000015,True
141,CHEMBL3685222,1.9,nM,CC(C)N1CCC(C(=O)Nc2cccc(CNC3=NC=NC4C(C(N)=O)=CCC=C34)c2)CC1,8.721246399047171,448.258674264,6,3,2.3859000000000004,True
142,CHEMBL3675431,1.9,nM,COc1ccc(C(=O)Nc2cccc(C(CN(C)C)Nc3ncnc4c3=CCCC=4C(N)=O)c2)cc1F,8.721246399047171,504.22851700800004,7,3,1.8017000000000003,True
143,CHEMBL3393486,2.0,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CN(C(=O)CN)C1)[C@H]2c1ccc(Sc2nc3c(F)cccc3[nH]2)o1.Cl,8.698970004336019,586.120144768,9,4,3.554300000000002,True
144,CHEMBL3087777,2.0,nM,CC(=O)N[C@@H]1CCN(c2c(Cl)cnc3[nH]c(-c4cn(C)nc4C)nc23)C1,8.698970004336019,373.14178594000003,6,2,2.03502,True
145,CHEMBL3393065,2.0,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cc(Sc2nc3ccccc3[nH]2)cs1,8.698970004336019,490.11333256400013,7,3,5.8449000000000035,True
146,CHEMBL3680544,2.0,nM,CCOC(=O)c1cnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)s1,8.698970004336019,448.13175950000004,9,3,3.717600000000002,True
147,CHEMBL1089116,2.0,nM,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,8.698970004336019,422.185509324,4,3,5.757300000000004,True
