,Nome,SMILES,SMILES_Canonic
9083,NUBBE_1518 # 1-methyl-2-n-nonyl-4-quinolone,c1ccc2c(c1)N(C(=CC2=O)CCCCCCCCC)C,CCCCCCCCCc1cc(=O)c2ccccc2n1C
9084,"NUBBE_1519 # 21β,25-dimethylmelianodiol",O[C@@H]([C@@H]1O[C@@H]([C@@H](C1)[C@@H]1CC[C@@]2([C@@]1(CC[C@H]1C2=CC[C@H]2[C@]1(C)CCC(=O)C2(C)C)C)C)OC)C(C)(C)OC,CO[C@H]1O[C@@H]([C@H](O)C(C)(C)OC)C[C@H]1[C@@H]1CC[C@@]2(C)C3=CC[C@@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C
9085,"NUBBE_151 # Methyl-8-hydroxy-2,2-dimethyl-2H-chromene-6-carboxylate",Oc1cc(C(=O)OC)cc2c1OC(C=C2)(C)C,COC(=O)c1cc(O)c2c(c1)C=CC(C)(C)O2
9086,"NUBBE_1520 # 3,21-Di-epi-feroniellide B",O[C@H](C(C)(C)O)[C@@H]1O[C@@H]([C@@H](C1)[C@H]1[C@]23C[C@]3(CC1)[C@]1([C@H](CC2)[C@@]2(C)CC[C@@H](C([C@@H]2C[C@H]1O)(C)C)OC(=O)c1ccccc1NC)C)OC,CNc1ccccc1C(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]45C[C@]4(CC[C@H]5[C@@H]4C[C@H]([C@H](O)C(C)(C)O)O[C@@H]4OC)[C@]3(C)[C@H](O)C[C@H]2C1(C)C
9087,"NUBBE_1521 # (21S,23S)-Epoxy-21α-methoxy-7α,24S,25-trihydroxy- 4α,4β,8β,10β-tetramethyl-25-dimethyl-14,18-cyclo-5,α13 α,- 14 α,17α-cholestan-3β-N-methylanthranilic acid ester",O[C@H](C(C)(C)O)[C@@H]1O[C@H]([C@@H](C1)[C@H]1[C@]23C[C@]3(CC1)[C@]1([C@H](CC2)[C@@]2(C)CC[C@@H](C([C@@H]2C[C@H]1O)(C)C)OC(=O)c1ccccc1NC)C)OC,CNc1ccccc1C(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]45C[C@]4(CC[C@H]5[C@@H]4C[C@H]([C@H](O)C(C)(C)O)O[C@H]4OC)[C@]3(C)[C@H](O)C[C@H]2C1(C)C
9088,"NUBBE_1522 # (21,23S)-Epoxy-7α,21,24S,25-tetrahydroxy-4α,4β,8β,10β- tetramethyl-25-dimethyl-14,18-cyclo-5α,13α,14α,17rcholestan-3β-N-methylanthranilic acid ester",O[C@H]1O[C@H](C[C@H]1[C@@H]1CC[C@@]23[C@]1(CC[C@H]1[C@@]3(C)[C@H](O)C[C@@H]3[C@]1(C)CC[C@@H](C3(C)C)OC(=O)c1ccccc1NC)C2)[C@@H](C(C)(C)O)O,CNc1ccccc1C(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]45C[C@]4(CC[C@H]5[C@@H]4C[C@H]([C@H](O)C(C)(C)O)O[C@@H]4O)[C@]3(C)[C@H](O)C[C@H]2C1(C)C
9089,NUBBE_1523 # melianone,O[C@H]1O[C@H](C[C@H]1[C@H]1[C@@]2(C)CC[C@H]3C(=CC[C@@H]4[C@]3(C)CCC(=O)C4(C)C)[C@]2(CC1)C)[C@@H]1OC1(C)C,CC1(C)O[C@H]1[C@H]1C[C@@H]([C@@H]2CC[C@]3(C)C4=CC[C@H]5C(C)(C)C(=O)CC[C@]5(C)[C@H]4CC[C@]23C)[C@@H](O)O1
9090,"NUBBE_1524 # 3α-hydroxytirucall-8,24-dien-21-oic",OC(=O)[C@@H](CCC=C(C)C)[C@H]1[C@]2(C)CCC3=C([C@@]2(CC1)C)CC[C@@H]1[C@]3(C)CC[C@H](C1(C)C)O,CC(C)=CCC[C@H](C(=O)O)[C@@H]1CC[C@@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CC[C@@H](O)C(C)(C)[C@@H]1CC3
9091,"NUBBE_1525 # 3,4-Dihydro-2,8-dimethyl-2-(4,8,12-trimethyltridecyl)-2H-1-benzopyran-6-ol",Oc1cc2c(c(c1)C)O[C@@](CC2)(C)CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C,Cc1cc(O)cc2c1O[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2
9092,NUBBE_1526 # (-)-Grandisin,c1c(OC)c(OC)c(cc1[C@@H]1O[C@H]([C@@H]([C@H]1C)C)c1cc(OC)c(c(c1)OC)OC)OC,COc1cc([C@@H]2O[C@@H](c3cc(OC)c(OC)c(OC)c3)[C@H](C)[C@H]2C)cc(OC)c1OC
9093,"NUBBE_1527 # (3-(2-(4-hydroxyphenyl)-2-oxoethyl)-5,6-dihydropyridin- 2(1H)-one)",Oc1ccc(cc1)C(=O)CC1=CCCNC1=O,O=C1NCCC=C1CC(=O)c1ccc(O)cc1
9094,NUBBE_1528 # fraxinellone,c1occc1[C@@H]1OC(=O)C2=C(C)CCC[C@]12C,CC1=C2C(=O)O[C@@H](c3ccoc3)[C@@]2(C)CCC1
9095,NUBBE_1529 # fraxinellonone,c1occc1[C@@H]1OC(=O)C2=C(C(=O)CC[C@]12C)C,CC1=C2C(=O)O[C@@H](c3ccoc3)[C@@]2(C)CCC1=O
